date,dem,rep,margin,7-day,14-day,21-day,28-day
2022-09-25,45.13177,43.810851,1.3209190000000035,1.5948091428571425,1.4850445000000003,1.3545465714285716,1.2176419285714288
2022-09-24,45.08937,43.286055,1.8033150000000049,1.6105339999999992,1.4767037857142857,1.3367351428571428,1.1892104285714287
2022-09-23,45.122052,43.23732,1.8847319999999996,1.563794428571427,1.4330210714285714,1.2953910952380951,1.1494203214285714
2022-09-22,45.16523,43.272986,1.892243999999998,1.503820714285713,1.3826548571428567,1.2496131428571426,1.1062166785714285
2022-09-21,44.977332,43.5758,1.401531999999996,1.432885,1.332126,1.2044865714285715,1.0560307500000001
2022-09-20,44.953246,43.530205,1.4230409999999978,1.4310040000000004,1.3029475000000004,1.177338523809524,1.0212646071428575
2022-09-19,44.885354,43.447473,1.4378809999999973,1.4015232857142865,1.268585928571429,1.1351081428571432,0.9828573214285719
2022-09-18,44.882956,43.451963,1.4309930000000008,1.3752798571428582,1.234415285714286,1.0919195238095245,0.9440415000000003
2022-09-17,44.862775,43.386637,1.4761379999999988,1.3428735714285724,1.1998357142857148,1.0487692380952385,0.9090967500000003
2022-09-16,44.8573,43.392384,1.4649160000000023,1.3022477142857158,1.1611894285714293,1.0112956190476194,0.8766608571428576
2022-09-15,44.781429,43.385735,1.395694000000006,1.2614890000000005,1.1225093571428577,0.9736820000000004,0.8438133571428575
2022-09-14,44.921956,43.533591,1.3883650000000003,1.2313669999999999,1.0902873571428573,0.930412666666667,0.8130158214285717
2022-09-13,45.024417,43.807741,1.2166759999999996,1.1748910000000004,1.0505057857142859,0.8846848095238099,0.781615535714286
2022-09-12,44.958903,43.704726,1.2541769999999985,1.1356485714285713,1.0019005714285716,0.8433020000000003,0.7553210000000004
2022-09-11,44.832941,43.628792,1.204149000000001,1.093550714285714,0.9502393571428576,0.8002953809523812,0.7267766785714291
2022-09-10,44.823784,43.632027,1.1917570000000026,1.0567978571428571,0.9017170714285717,0.7645044761904762,0.6976861428571434
2022-09-09,44.814696,43.635091,1.1796049999999951,1.0201311428571427,0.8658195714285714,0.7347985714285715,0.6682640000000006
2022-09-08,44.932549,43.747709,1.1848400000000012,0.9835297142857148,0.8297785000000003,0.7045881428571432,0.6384090000000009
2022-09-07,44.797133,43.8041,0.993033000000004,0.9492077142857147,0.7799355000000006,0.673565428571429,0.6059820714285722
2022-09-06,44.799259,43.85728,0.9419789999999963,0.9261205714285714,0.7395817142857146,0.6505237142857145,0.5780402500000006
2022-09-05,44.60628,43.646788,0.9594919999999973,0.868152571428572,0.6971287142857149,0.6285451428571434,0.5496437500000008
2022-09-04,44.594062,43.647183,0.9468790000000027,0.8069280000000012,0.6536677142857147,0.6045186666666675,0.5200815357142867
2022-09-03,44.582697,43.647607,0.9350900000000024,0.7466362857142863,0.6183577857142859,0.5779822380952389,0.49018653571428644
2022-09-02,44.57196,43.648565,0.9233949999999993,0.711508,0.592132285714286,0.5509749523809533,0.46003300000000075
2022-09-01,44.560186,43.6156,0.944586000000001,0.6760272857142857,0.5651173571428575,0.5233687619047629,0.42956657142857224
2022-08-31,44.447956,43.616533,0.8314230000000009,0.6106632857142864,0.5357442857142861,0.4915735238095246,0.39607210714285807
2022-08-30,44.308637,43.772434,0.5362030000000004,0.5530428571428578,0.5127252857142862,0.46201347619047695,0.3659886785714294
2022-08-29,44.300632,43.769712,0.5309200000000018,0.5261048571428576,0.508741428571429,0.44347414285714376,0.3383692500000008
2022-08-28,44.294607,43.76977,0.524836999999998,0.5004074285714282,0.5033140000000006,0.4244660476190486,0.30892114285714356
2022-08-27,44.274249,43.585057,0.6891919999999985,0.49007928571428544,0.4936552142857152,0.40470328571428654,0.2770830714285721
2022-08-26,44.266552,43.591522,0.6750299999999996,0.4727565714285719,0.4707084285714299,0.37620800000000104,0.24275332142857206
2022-08-25,44.172673,43.685635,0.4870380000000054,0.45420742857142926,0.4470395000000015,0.347413000000001,0.20839353571428632
2022-08-24,44.030054,43.601974,0.42808000000000135,0.4608252857142858,0.43202864285714376,0.3245417142857153,0.18262903571428626
2022-08-23,43.88901,43.541373,0.34763699999999886,0.4724077142857145,0.41649878571428645,0.3036372857142866,0.1479821071428576
2022-08-22,43.89131,43.540272,0.3510379999999955,0.4913780000000005,0.4021587857142868,0.27579071428571517,0.11133571428571466
2022-08-21,43.920863,43.468323,0.45253999999999905,0.506220571428573,0.3864953571428588,0.245092380952382,0.06111703571428632
2022-08-20,43.889709,43.321776,0.5679330000000036,0.49723114285714487,0.36201528571428704,0.20608433333333429,0.006882321428572068
2022-08-19,43.886912,43.341726,0.5451860000000011,0.4686602857142879,0.3279337142857156,0.16608557142857214,-0.047254857142856564
2022-08-18,43.899989,43.366626,0.5333630000000014,0.43987157142857364,0.29401578571428694,0.126455571428572,-0.10108899999999947
2022-08-17,43.89705,43.387893,0.5091570000000019,0.4032320000000017,0.25639992857143007,0.08989695238095306,-0.16083067857142805
2022-08-16,43.877085,43.396656,0.4804290000000009,0.36058985714285846,0.21925207142857264,0.039840238095238636,-0.22714421428571388
2022-08-15,43.875453,43.420517,0.45493600000000356,0.3129395714285731,0.1679970714285725,-0.015345047619047272,-0.30430096428571396
2022-08-14,43.830785,43.441171,0.3896140000000017,0.26677014285714457,0.11452828571428648,-0.08725080952380926,-0.3819469642857141
2022-08-13,43.828901,43.460964,0.36793700000000484,0.22679942857142926,0.060510928571428986,-0.15656728571428552,-0.45757289285714287
2022-08-12,43.827579,43.483914,0.34366500000000144,0.1872071428571433,0.014798214285714246,-0.21922657142857138,-0.5319478571428574
2022-08-11,43.791129,43.514243,0.2768859999999975,0.14816000000000024,-0.03025242857142883,-0.2814091904761905,-0.605807392857143
2022-08-10,43.898753,43.688091,0.21066199999999924,0.10956785714285847,-0.06677057142857125,-0.3488515714285713,-0.6785077500000002
2022-08-09,44.311965,44.165088,0.14687700000000348,0.07791428571428684,-0.12053457142857127,-0.4230555714285713,-0.7542831428571432
2022-08-08,44.272969,44.141219,0.1317500000000038,0.023054571428571893,-0.17948735714285746,-0.5100478095238097,-0.8337935357142862
2022-08-07,44.258078,44.148259,0.10981899999999456,-0.03771357142857162,-0.2642612857142862,-0.5981860000000003,-0.9106502857142864
2022-08-06,44.245058,44.154267,0.09079100000000295,-0.10577757142857129,-0.3482506428571429,-0.6856970000000002,-0.9772606071428575
2022-08-05,44.231662,44.161327,0.07033500000000004,-0.1576107142857148,-0.42244342857142875,-0.7716661904761909,-1.043526464285715
2022-08-04,44.196499,44.189758,0.006741000000005215,-0.2086648571428579,-0.4961937857142859,-0.8571298571428575,-1.1094980000000005
2022-08-03,44.185747,44.19666,-0.010913000000002171,-0.24310900000000096,-0.5780612857142862,-0.9411996190476197,-1.166902357142858
2022-08-02,44.090754,44.327895,-0.23714100000000116,-0.31898342857142936,-0.6735405000000004,-1.0316822857142864,-1.224143500000001
2022-08-01,44.06244,44.356067,-0.29362700000000075,-0.3820292857142868,-0.7765990000000004,-1.1194095714285721,-1.2745167142857154
2022-07-31,43.919228,44.285857,-0.3666290000000032,-0.4908090000000008,-0.8784222142857148,-1.2016291904761913,-1.3341286785714297
2022-07-30,43.926946,44.198987,-0.27204100000000153,-0.5907237142857146,-0.9756567142857148,-1.2677549523809528,-1.391378892857144
2022-07-29,43.918766,44.20581,-0.28704400000000163,-0.6872761428571427,-1.078693928571429,-1.338831714285715,-1.4522657857142869
2022-07-28,43.890411,44.124779,-0.23436799999999636,-0.7837227142857139,-1.1813623571428573,-1.4097757142857148,-1.5128446071428583
2022-07-27,43.58038,44.122414,-0.542034000000001,-0.9130135714285714,-1.290244928571429,-1.474833476190477,-1.58046492857143
2022-07-26,43.395626,44.074088,-0.6784620000000032,-1.0280975714285714,-1.388031714285715,-1.5258635238095248,-1.6372150714285727
2022-07-25,43.111564,44.166649,-1.0550849999999983,-1.1711687142857141,-1.4880997142857149,-1.572012523809525,-1.6808330714285726
2022-07-24,43.110452,44.176484,-1.0660319999999999,-1.2660354285714288,-1.5570392857142867,-1.6152352380952393,-1.715794285714287
2022-07-23,43.204358,44.152266,-0.9479079999999982,-1.3605897142857148,-1.606270571428572,-1.6582639523809537,-1.7591003214285725
2022-07-22,43.200529,44.162699,-0.9621700000000004,-1.4701117142857154,-1.664609500000001,-1.707262333333335,-1.8066374642857155
2022-07-21,43.181587,44.320991,-1.139403999999999,-1.5790020000000007,-1.7228022142857153,-1.7558852380952399,-1.853685392857144
2022-07-20,43.088544,44.436166,-1.3476220000000012,-1.6674762857142866,-1.75574342857143,-1.8029487142857161,-1.8938582500000012
2022-07-19,42.909605,44.589565,-1.6799600000000012,-1.7479658571428587,-1.7747465000000016,-1.8402542380952398,-1.9284686071428585
2022-07-18,42.863597,44.582749,-1.7191520000000011,-1.8050307142857156,-1.7724344285714306,-1.850721190476192,-1.946068035714287
2022-07-17,42.862525,44.590437,-1.7279120000000034,-1.8480431428571447,-1.7898351428571446,-1.8657139047619065,-1.9656921071428584
2022-07-16,42.942503,44.657065,-1.7145620000000008,-1.8519514285714291,-1.8071010714285731,-1.8919371904761917,-1.9849330357142867
2022-07-15,42.940354,44.664756,-1.7244019999999978,-1.8591072857142865,-1.8258376428571448,-1.9188127142857154,-2.004582392857144
2022-07-14,43.054865,44.813589,-1.7587240000000008,-1.8666024285714298,-1.8443268571428593,-1.945246523809525,-2.0237899642857156
2022-07-13,42.829004,44.740053,-1.9110490000000055,-1.8440105714285733,-1.8706849285714309,-1.9693189047619062,-2.052142607142858
2022-07-12,42.767914,44.847328,-2.079414,-1.8015271428571447,-1.8863984285714304,-1.9886361904761916,-2.0748240357142866
2022-07-11,43.091572,45.111811,-2.0202390000000037,-1.7398381428571454,-1.8735664285714304,-1.9930804761904775,-2.0899019285714293
2022-07-10,43.20376,44.95903,-1.755269999999996,-1.7316271428571446,-1.8745492857142874,-2.0049084285714294,-2.103736464285715
2022-07-09,43.195356,44.960009,-1.7646530000000027,-1.7622507142857171,-1.911930071428573,-2.0292602380952394,-2.126870107142858
2022-07-08,43.184487,44.961355,-1.7768680000000003,-1.7925680000000028,-1.9486654285714298,-2.053074095238096,-2.1495197857142867
2022-07-07,43.215993,44.816574,-1.6005810000000054,-1.822051285714289,-1.9845685714285726,-2.0761858095238104,-2.1716343214285723
