date,dem,rep,margin,demDiff,repDiff,marginDiff
2022-06-02,42.80818,45.001246,-2.1930660000000017,0.0025359999999992056,-0.001246999999999332,0.0037829999999985375
2022-06-03,42.803884,45.011479,-2.207595000000005,-0.00429600000000363,0.010232999999999493,-0.014529000000003123
2022-06-04,42.806778,45.010098,-2.203319999999998,0.002894000000004837,-0.001381000000002075,0.004275000000006912
2022-06-05,42.810046,45.009001,-2.198954999999998,0.0032679999999984943,-0.001097000000001458,0.004364999999999952
2022-06-06,42.801442,45.016132,-2.2146899999999974,-0.00860399999999828,0.007131000000001109,-0.01573499999999939
2022-06-07,42.804133,45.016095,-2.2119619999999998,0.0026909999999986667,-3.6999999998954536e-05,0.002727999999997621
2022-06-08,42.686916,45.038911,-2.3519950000000023,-0.11721700000000368,0.022815999999998837,-0.14003300000000252
2022-06-09,42.685198,45.037051,-2.3518529999999984,-0.0017179999999967777,-0.001860000000000639,0.00014200000000386126
2022-06-10,42.645026,45.041101,-2.396074999999996,-0.04017199999999832,0.004049999999999443,-0.04422199999999776
2022-06-11,42.6402,45.039044,-2.398843999999997,-0.004826000000001329,-0.0020570000000006416,-0.0027690000000006876
2022-06-12,42.634333,45.037345,-2.403012000000004,-0.005867000000002065,-0.00169899999999501,-0.004168000000007055
2022-06-13,42.630123,45.037729,-2.4076060000000012,-0.004210000000000491,0.0003839999999968313,-0.0045939999999973224
2022-06-14,42.280093,44.781688,-2.501595000000002,-0.35002999999999673,-0.2560409999999962,-0.09398900000000054
2022-06-15,42.446249,44.992378,-2.5461290000000005,0.16615600000000086,0.2106899999999996,-0.04453399999999874
2022-06-16,42.439233,44.991831,-2.552597999999996,-0.007016000000000133,-0.0005470000000045161,-0.006468999999995617
2022-06-17,42.443613,44.705827,-2.262214,0.004379999999997608,-0.28600399999999837,0.290383999999996
2022-06-18,42.436671,44.701415,-2.2647440000000003,-0.006942000000002224,-0.004412000000002081,-0.0025300000000001432
2022-06-19,42.431727,44.698385,-2.2666579999999996,-0.00494399999999473,-0.0030299999999954252,-0.0019139999999993051
2022-06-20,42.424027,44.692653,-2.2686259999999976,-0.007699999999999818,-0.005732000000001847,-0.0019679999999979714
2022-06-21,42.526832,44.699576,-2.1727440000000016,0.10280499999999648,0.006923000000000457,0.09588199999999603
2022-06-22,42.478347,44.795059,-2.3167120000000025,-0.048484999999999445,0.09548300000000154,-0.14396800000000098
2022-06-23,42.511903,44.776147,-2.264244000000005,0.033555999999997255,-0.018912000000000262,0.05246799999999752
2022-06-24,42.514239,44.793751,-2.279511999999997,0.002336000000006777,0.01760399999999862,-0.015267999999991844
2022-06-25,42.511323,44.790271,-2.2789479999999998,-0.002916000000006136,-0.0034800000000032583,0.0005639999999971224
2022-06-26,42.508056,44.786657,-2.2786009999999948,-0.0032669999999939137,-0.003613999999998896,0.0003470000000049822
2022-06-27,42.653376,44.687375,-2.0339990000000014,0.14531999999999812,-0.09928199999999521,0.24460199999999332
2022-06-28,42.705934,44.6057,-1.8997659999999996,0.05255799999999766,-0.08167500000000416,0.13423300000000182
2022-06-29,42.683081,44.814119,-2.1310379999999967,-0.022852999999997792,0.20841899999999924,-0.23127199999999704
2022-06-30,42.683761,44.811498,-2.1277370000000033,0.000679999999995573,-0.002620999999997764,0.003300999999993337
2022-07-01,42.781267,44.764518,-1.9832510000000028,0.09750600000000276,-0.0469799999999978,0.14448600000000056
2022-07-02,42.783147,44.760021,-1.9768740000000022,0.0018799999999998818,-0.004497000000000639,0.006377000000000521
2022-07-03,42.786356,44.755991,-1.9696350000000038,0.003208999999998241,-0.0040300000000002,0.007238999999998441
2022-07-04,42.788784,44.751546,-1.962761999999998,0.002428000000001873,-0.004445000000004029,0.006873000000005902
2022-07-05,43.199203,44.846794,-1.6475910000000056,0.4104189999999974,0.0952480000000051,0.3151709999999923
2022-07-06,43.206154,44.819819,-1.6136650000000046,0.006951000000000818,-0.026975000000000193,0.03392600000000101
2022-07-07,43.215993,44.816574,-1.6005810000000054,0.009838999999999487,-0.0032449999999997203,0.013083999999999207
2022-07-08,43.184487,44.961355,-1.7768680000000003,-0.031506000000000256,0.14478099999999472,-0.17628699999999498
2022-07-09,43.195356,44.960009,-1.7646530000000027,0.010868999999999573,-0.001345999999998071,0.012214999999997644
2022-07-10,43.20376,44.95903,-1.755269999999996,0.008404000000005851,-0.0009790000000009513,0.009383000000006803
2022-07-11,43.091572,45.111811,-2.0202390000000037,-0.11218800000000329,0.1527810000000045,-0.2649690000000078
2022-07-12,42.767914,44.847328,-2.079414,-0.3236580000000018,-0.2644830000000056,-0.0591749999999962
2022-07-13,42.829004,44.740053,-1.9110490000000055,0.06109000000000009,-0.10727499999999424,0.16836499999999432
2022-07-14,43.054865,44.813589,-1.7587240000000008,0.22586100000000187,0.07353599999999716,0.1523250000000047
2022-07-15,42.940354,44.664756,-1.7244019999999978,-0.11451100000000025,-0.14883300000000332,0.03432200000000307
2022-07-16,42.942503,44.657065,-1.7145620000000008,0.002149000000002843,-0.007690999999994119,0.009839999999996962
2022-07-17,42.862525,44.590437,-1.7279120000000034,-0.0799780000000041,-0.06662800000000146,-0.013350000000002638
2022-07-18,42.863597,44.582749,-1.7191520000000011,0.001072000000000628,-0.0076880000000016935,0.008760000000002321
2022-07-19,42.909605,44.589565,-1.6799600000000012,0.04600800000000049,0.006816000000000599,0.039191999999999894
2022-07-20,43.088544,44.436166,-1.3476220000000012,0.17893899999999974,-0.15339900000000029,0.332338
